Rank,Name,Age,Gender,Timed segment 1: Start to Sunshine,Timed segment 2: Linden to Cemex,Total
#1,Lachlan Morton,29,Male,1:21:58,1:07:59,2:29:57
#2,alex howes,33,Male,1:22:07,1:07:53,2:30:00
#3,Jonathan Cavner,46,Male,1:27:15,1:11:55,2:39:10
#4,Nick Gould,42,Male,1:27:15,1:13:10,2:40:25
#5,David Sachs,39,Male,1:36:49,1:17:53,2:54:42
#6,Brett Wachtendorf,27,Male,1:42:48,1:11:56,2:54:44
#7,erin huck,39,Female,1:38:04,1:18:57,2:57:01
#8,FELIPE CANTERO,42,Male,1:46:45,1:22:10,3:08:55
#9,Clyde Wright,45,Male,1:42:51,1:27:14,3:10:05
#10,Scott Piercefield,33,Male,1:48:51,1:24:24,3:13:15
#11,Andrea Dvorak,39,Female,1:49:24,1:23:53,3:13:17
#12,Macky Franklin,33,Male,1:46:41,1:32:40,3:19:21
#13,Aaron Provance,44,Male,1:47:45,1:32:31,3:20:16
#14,Brendan Heinig,35,Male,1:47:07,1:34:33,3:21:40
#15,Ethan Cefus,20,Male,1:57:28,1:25:18,3:22:46
#16,Gannon Hartnett,40,Male,1:56:41,1:27:40,3:24:21
#17,Suzie Snyder,38,Female,1:51:04,1:33:36,3:24:40
#18,yannick drouet,57,Male,1:58:45,1:26:01,3:24:46
#19,Greg Holick,45,Male,1:47:05,1:37:57,3:25:02
#20,William Pankonin,47,Male,1:47:32,1:37:32,3:25:04
#21,Mark Wallace,58,Male,1:47:35,1:37:53,3:25:28
#22,Greg Walker,38,Male,1:50:27,1:36:06,3:26:33
#23,Jessica Cygan,27,Female,1:54:34,1:33:46,3:28:20
#24,Erich Byers,39,Male,2:03:04,1:25:43,3:28:47
#25,Ben Delaney,44,Male,1:53:00,1:37:31,3:30:31
#26,Jeff Hoobler,54,Male,2:00:37,1:32:40,3:33:17
#27,Ewam de Freitas,49,Male,2:01:58,1:31:31,3:33:29
#28,Starla Teddergreen,41,Female,2:01:52,1:34:30,3:36:22
#29,Neal Henderson,47,Male,2:06:53,1:32:37,3:39:30
#30,Matthias Stehle,48,Male,1:59:02,1:41:28,3:40:30
#31,Charlie Bartel,40,Male,1:55:22,1:45:54,3:41:16
#32,Patrick Morrissey,51,Male,1:58:30,1:44:07,3:42:37
#33,Eddie Webb,18,Male,2:03:39,1:42:26,3:46:05
#34,Todd Robinson,47,Male,2:08:31,1:39:56,3:48:27
#35,Tim Weiss,30,Male,1:59:07,1:49:58,3:49:05
#36,Sam Pflugh,16,Male,2:06:03,1:43:07,3:49:10
#37,Jay Harpp,38,Male,2:00:47,1:49:30,3:50:17
#38,Steve Aseltine,51,Male,2:11:04,1:44:00,3:55:04
#39,John Sherohman,31,Male,2:17:11,1:43:03,4:00:14
#40,Jean-Benoit Baudens,35,Male,2:27:33,1:33:39,4:01:12
#41,Shane Linart,47,Male,2:11:36,1:49:43,4:01:19
#42,Ellie Malfeld,19,Female,2:17:02,1:44:28,4:01:30
#43,Chuck Jones,33,Male,2:16:45,1:45:24,4:02:09
#44,Sandy Holt,35,Female,2:15:11,1:48:12,4:03:23
